codigo,tipo,resumen_aplicaciones,diametro_exterior,diametro_interior,altura,empaquetadura,linea,und_x_caja,valc_by_pass,valv_antidr
AE1031,PP,Toyota mod Yaris ano 2014. Toyota 17801-0Y040,254,122.5,36,,FILTRO PARA AIRE TIPO PANEL,42,,
AE10310,PP,Linea de dise�os especiales,274,133,43,,FILTRO PARA AIRE TIPO PANEL,,,
AE1043,PP,"Ford Pick up mod. Ranger 89-94, Taurus 86-95 .",288,156.5,30,,FILTRO PARA AIRE TIPO PANEL,,,
AE1100,PUO,"Nissan pick up mod. Atlas mot. Z20 gasolina, Avenier mot. CA-18,Ga16DS, Laurel mot. CA18S, Praire mot. CA20,Skyline mot. CA18, Stanza 84-89.Blue Bird mot. CA 16 ",272 / 226,225 / 181,61,,FILTRO PARA AIRE OVALADO,20,,
AE118,PUC,"Toyota auto mod. Corona mot. 16R, 18R, 74-81, mot. 2S 83-89, Corolla mot. 3T 81-82. ",261.5,202.5,62,,FILTRO PARA AIRE CIRCULAR,9,,
AE124,PUC,"Toyota auto mod.Celica mot..20R,21R; Corona mot. 16R,18R; Cressida mot. 21R. ",297,243,54,,FILTRO PARA AIRE CIRCULAR,11,,
AE1258,PUC,Linea  Atlas Copco Compresor de tornillo,140,81.5,128,,FILTRO PARA AIRE CIRCULAR,27,,
AE14,PP,Linea  Maquina cortadora de cemento,145,89.5,25,,FILTRO PARA AIRE TIPO PANEL,,,
AE145,TMC,"Datsun Nissan Stanza mot. J15,J16 mod. Pulsar mot. N10,N12,E16; Sunny Cuope mot.B110, B210 . ",230,173,49,,FILTRO PARA AIRE METALICO,,,
AE145G,TMC,"Datsun Nissan Stanza mot. J15,J16 mod. Pulsar mot. N10,N12,E16; Sunny Cuope mot.B110, B210 .",230,173,49,,FILTRO PARA AIRE CIRCULAR,36,,
AE145PU,PUC,"Datsun Nissan Stanza mot. J15,J16 mod. Pulsar mot. N10,N12,E16; Sunny Cuope mot.B110, B210 . ",230,173,49,,FILTRO PARA AIRE CIRCULAR ,36,,
AE146,TMC,"Datsun Nissan mod. Cedric mot. L28, Stanza mot. Z-24. ",270,201,61,,FILTRO PARA AIRE METALICO,10,,
AE1460,PUO,Peugeot auto mod. 106,139/110,104/73,162,,FILTRO PARA AIRE OVALADO,,,
AE146PU,PUC,"Datsun Nissan mod. Cedric mot. L28, Stanza mot. Z-24.",270,201,61,,FILTRO PARA AIRE CIRCULAR,10,,
AE15,PUC,Linea de Compresor  de piston,177,139,63,,FILTRO PARA AIRE CIRCULAR,,,
AE1588,PP,Briggss Stratton  compresor N 491588,133.5,114,20,,FILTRO PARA AIRE TIPO PANEL,,,
AE16,PUC,Linea  Atlas Copco compresora de aire,118,68,136,,FILTRO PARA AIRE CIRCULAR,,,
AE1602,PP,"Toyota auto mod. Celica mot.4AFE, 5SFE, Corolla 87-89, Corona, mot. 1C,2C.",250,155,41,,FILTRO PARA AIRE TIPO PANEL,,,
AE165,PUC,Nissan auto mod. March 4 Cil-1.0L c/mot. MA10S (1982-91) , Micra 1.0L/ 1.2L Sunny modelo LK10FQ. ,192.5,146.5,,,,12,
AE1658,PP,Ford Explorer ano. 2000 ,223,193.5,55,,FILTRO PARA AIRE TIPO PANEL,,,
AE17,PUC,Linea  maquina empacadora,114,53,170,,FILTRO PARA AIRE CIRCULAR,,,
AE1760,PUC,"Peugeot mod. Parthner . Camioneta Citroen mod. Berlingo mot. 10CV3J4, 1.8 Lt Diesel, Citroen  mod. Berlingo mot. 10 CU ano 1998",165,121,124,,FILTRO PARA AIRE CIRCULAR,16,,
AE1761,PP,Renault Logan auto ano 2012,325,95,50,,FILTRO PARA AIRE TIPO PANEL,,,
AE1762,PUO,Renault camion Sandero ano 2007 up ,279 / 248,216 / 185,91,,FILTRO PARA AIRE OVALADO,,,
AE1763,PP,Peugeot furgon mod. Parthner  ano 2013,268,229,55,,FILTRO PARA AIRE TIPO PANEL,,,
AE1764,PP,Peugeot  furgon  ano 2011,255,212,56,,FILTRO PARA AIRE TIPO PANEL,,,
AE184,PUC,Jeep mod. Cherokee 80-83. ,245,200,60,,FILTRO PARA AIRE CIRCULAR,,,
AE2003G,PP,"Toyota sw. Mod. Corolla mot.5A, Caldina sw mot. 2C, Carina mot. 1C,2C, Celica mot. 3S, Corona mot. 2C,3SFE . ",306,155,44,,FILTRO PARA AIRE TIPO PANEL,30,,
AE2004,PP,Toyota  Suv  mod Rav ano 2013,266,183,35,,FILTRO PARA AIRE TIPO PANEL,,,
