marca,modelo,motor,year,aceite,aire,combustible,otros
ACURA,CL,"4cil, 2.2 Lt F/inj V TEC ",1997,BLS260,,,
ACURA,CL,"4cil, 2.2 Lt F/inj V TEC ",98-1999,BLS260,,,
ACURA,CL,"CL4cil, 2.2 Lt F/inj V ",2000,BLS260,,,
ACURA,CL,"4cil, V6  3.0 Lt F/inj V TEC",1997-1999,BLS260,,,
ACURA,CL,"4cil, V6  3.0 Lt F/inj V",2000,BLS260,,,
ACURA,EL ( Canada), 4cil  3.0Lt F/ inj ,1997,BLS260,,,
ACURA,INTEGRA,4 cil  1.6Lt  F/ inj,1986-1987,BLS260,,,
ACURA,INTEGRA,4cil  1.6Lt F/inj,1988-1989,BLS260,,,
ACURA,INTEGRA,4cil 1.7Lt  F/ inj,1993,BLS260,,,
ACURA,INTEGRA,4cil  1.8Lt  F/ inj,1990-1993,BLS260,,,
ACURA,INTEGRA,4cil  1.8Lt  F/ inj,1994-2000,BLS260,,,
ACURA,INTEGRA,4cil  1.8Lt  F/ inj  V-TEC,1994-2000,BLS260,,,
ACURA,RL,V6  3.5Lt ,1996-2000,BLS260,,,
ACURA,TL,5cil  F/ inj ,1995-1998,BLS260,,,
ACURA,TL,V6  3.2Lt  F/ inj ,1999-2000,BLS260,,,
ACURA,VIGOR,5 cil  2.5Lt ,1992-1994,BLS260,,,
ALFA ROMEO,155,V6 Gasolina,1994,BLS16,,,
ALFA ROMEO,164,V6  3.0Lt F/ Inj,1991-1993,BLS27,,,
ALFA ROMEO,164,V6  3.0Lt  F/ Inj,1994-1995,BLS11,,,
ALFA ROMEO,155 SPORT,V6 TEM ,1996,BLS16,,,
ALFA ROMEO,ALFETTA,4 cil  2.0 Lt ,1977-1980,BLS16,,,
ALFA ROMEO,ALFETTA,4cil  2.0Lt,1981,BLS27,,,
ALFA ROMEO,GT,V6 2.5L,1981-1987,BLS16,,,
MANN,BUS ,,2015,BAE81275SR BAE81275S,,,
ALFA ROMEO,MILANO,V6   2.5Lt  F/ Inj ,1987,BLS16,,,
ALFA ROMEO,MILANO,V6 2.5L F/ Inj ,1988-1989,BLS27,,,
ALFA ROMEO,MILANO,V6  3.0Lt  F/ Inj,1987,BLS27,,,
ALFA ROMEO,MILANO,V6  3.0Lt ,1988-1989,BLS27,,,
ALFA ROMEO,SPIDER VELOCE,4 cil.2.0Lt .FI.,1977-1980,BLS16,,BPS150,
ALFA ROMEO,SPIDER VELOCE,4 cil.2.0Lt .FI,1981,BLS27,,BPS150,
ALFA ROMEO,SPIDER VELOCE,4 cil.2.0Lt .FI.,1982-1987,BLS27,,,
ALFA ROMEO,SPRINT VELOCE,4 cil.2.0L,,BLS16,,,
AMERICAN MOTORS ,ALLIANCE,4CIL  1.4 Lt ,1984-1987,BLS1446,,,
AMERICAN MOTORS ,ALLIANCE,4CIL  1.7 Lt ,1984-1987,BLS1446,,,
AMERICAN MOTORS ,AMX,6cil  4.2Lt ,1980,BLS331,AE184,,
AMERICAN MOTORS ,CONCORD,4cil  2.5Lt ,1980-1982,BLS111,AE184,,
AMERICAN MOTORS ,CONCORD,6cil  4.2Lt ,1978-1984,BLS331,AE184,,
AMERICAN MOTORS ,EAGLE,4 cil.2.5L,1981-1982,BLS111,AE184,,
AMERICAN MOTORS ,EAGLE,6 CIL  4.2Lt,1980-1982,BLS331,AE184,,
AMERICAN MOTORS ,ENCORE,4CIL  1.4 Lt ,1984-1987,BLS1446,,,
AMERICAN MOTORS ,ENCORE,4CIL 1.7 Lt  ,1984-1987,BLS1446,,,
AMERICAN MOTORS ,SX4,6 Cil  4.2Lt,1987,BLS1446,AE184,,
ARO,ARO10,4cil. Ensamblada en Peru,,BLS27,AE5053,,
ASIA,AM808 Minibus,ZB-14 6cil,1989,BLS270,BAE4972,BPS265,
ASIA,AM808 Minibus,ZB-15 6cil,1989,BLS270,BAE4972,BPS265,
ASIA,AM815 MINIBUS,ZB-1  6cil,1990,BLS270,BAE4972,BPS265,
ASIA,AM818 MINIBUS,LX 6cil,1990,BLS270,BAE1131,,
ASIA,AM825 Minibus,ZB-5 6cil,1996-1997,BLS270,BAE4972,BPS265,
ASIA,AM825 Minibus,ZB-6 6cil,1990,BLS270,BAE4972,BPS265,
ASIA,COSMOS BUS,ZB 6cil,1992,BLS270,BAE1131,BPE29,
ASIA,HI TOPIC AM 715,"4 cil., 2.7 L ",,BLS270,BAE1130,BPS521,
ASIA,TOPIC ,"4 cil., 2.5 L. diesel",1990-1991,BLS270,BAE1120,BPS265,
ASIA,TOPIC ,4 cil.,1987-1989,BLS270,BAE1121,BPS265,
ASIA,TOWNER,4 cil. gasolinero ,1991,BLS51,AE7710,,
ASIA,XA, XA diesel ,1987-1989,BLS270,BAE1121,BPS265,
AUDI,80,4cil  2.0 Lt,1990-1992,BLS561,,,
AUDI,80,4cil    2.3Lt,1990-1992,BLS561,,,
AUDI,90, 4cil   V6  2.0 Lt   FI,1988-1995,BLS561,,,
AUDI,90,4cil   V6  2.3Lt  FI ,1988-1995,BLS561,,,
AUDI,100 SERIES ,"2.3 Lt , 2.8 Lt  ",1989-1994,BLS561,,,
AUDI,100 SERIES ,2.3 Lt  ,1989-1994,BLS561,,,
AUDI,200 SERIES,2.2Lt Turbo ,1989-1991,BLS561,,,
AUDI,4000 CS,2.2Lt  ,1981-1987,BLS561,,,
AUDI,5000 SQUATTRO, 2.2Lt ,1980-1988,BLS561,,,
AUDI,5000 SQUATTRO, 2.3Lt  ,1980-1988,BLS561,,,
AUDI,80 QUATTRO,4cil  2.0 Lt,1990-1992,BLS561,,,
AUDI,80 QUATTRO,4cil  2.3Lt,1990-1992,BLS561,,,
AUDI,90 QUATTRO,4 cil   V6  2.0 Lt    FI,1988-1995,BLS561,,,
